Rank,Name,Current Players,Peak Players,Hours Played
1,Counter-Strike: Global Offensive,349515,995163,433426060
2,Lost Ark,335691,1173988,467183739
3,Dota 2,328251,733196,317059958
4,ELDEN RING,319184,952523,247363005
5,PUBG: BATTLEGROUNDS,152091,532109,164329555
6,Apex Legends,147422,391759,142538886
7,Destiny 2,95168,289895,74230200
8,Team Fortress 2,63216,93238,52986301
9,Grand Theft Auto V,60599,145915,60995953
10,Wallpaper Engine,59318,83936,39372729
11,MIR4,57366,61535,40259011
12,Rust,53720,134559,58026371
13,NARAKA: BLADEPOINT,52045,165976,43741002
14,Tom Clancy's Rainbow Six Siege,47221,97623,30144343
15,Yu-Gi-Oh!  Master Duel,42537,190442,46340239
16,Dead by Daylight,32243,53766,25184500
17,Unturned,31714,45521,22467064
18,Sid Meier's Civilization VI,29400,58685,27083229
19,ARK: Survival Evolved,28222,71471,30068982
20,Risk of Rain 2,27595,70761,16415711
21,Warframe,27446,57905,22070035
22,War Thunder,26735,61414,24033242
23,VRChat,24975,36585,15243564
24,Football Manager 2022,24835,74000,32573077
25,Stardew Valley,24770,38687,18937841
